"CRUISEJOIN","HAULJOIN","CATCHJOIN","REGION","VESSEL","CRUISE","HAUL","SPECIES_CODE","LENGTH","FREQUENCY","SEX","SAMPLE_TYPE","LENGTH_TYPE"
NA,NA,NA,"GOA",41,199903,369,440,380,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,440,620,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,369,10110,270,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,490,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,500,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21720,630,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21722,520,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,21722,640,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,520,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,530,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,550,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,560,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,570,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,590,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,600,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,620,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,650,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,660,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10110,680,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10120,680,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10120,810,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10120,860,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10120,890,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10120,900,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10130,150,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10130,210,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10130,220,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,368,10130,230,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,354,405,310,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,354,405,320,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,354,405,330,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,354,405,340,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,21740,330,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,21740,350,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,21740,390,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,21740,520,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,21740,550,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,160,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,240,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,270,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,320,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,330,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,350,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,360,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,370,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,390,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,410,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,440,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,460,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,405,650,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,110,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,160,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,200,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,220,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,230,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,290,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,300,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,310,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,320,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,350,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,380,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,400,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,420,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,430,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,440,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,460,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,500,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,520,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,530,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,540,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,580,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,600,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,610,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,630,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,660,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,680,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10110,710,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,353,10120,700,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10110,570,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10110,580,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10110,610,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10120,810,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10120,860,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10120,930,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10120,1060,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10120,1120,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10120,1200,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,130,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,200,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,240,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,250,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,260,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,270,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,280,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,290,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,300,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,310,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,320,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,330,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,340,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,350,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,360,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,380,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,390,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,400,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,410,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10130,430,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10180,270,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10180,300,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10180,360,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10200,120,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10200,190,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10200,250,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10200,290,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,10200,300,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,20510,390,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,20510,400,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,20510,410,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,20510,430,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,352,20510,450,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,420,700,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,420,750,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,420,880,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,420,910,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,440,300,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,10110,180,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,399,10110,200,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,250,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,280,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,300,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,310,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,320,6,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,330,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,350,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10110,640,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10110,650,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10110,660,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10110,680,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10120,680,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,90,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,100,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,110,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,130,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,160,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,170,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,398,10130,230,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10200,240,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10261,280,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10285,320,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10285,330,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10285,390,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10285,450,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,10285,480,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21722,480,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,250,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,350,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,470,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,480,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,490,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,500,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,530,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,397,21740,540,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,290,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,300,12,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,310,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,320,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,330,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,340,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,350,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,360,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,370,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,380,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,390,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,400,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,420,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,430,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,362,10130,540,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,280,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,300,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,310,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,330,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,340,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,350,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,360,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,370,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,380,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,390,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,400,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,410,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,420,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,450,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,460,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,490,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,500,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,520,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10110,540,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,380,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,580,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,740,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,810,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,820,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,840,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,900,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,930,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10120,980,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,290,10130,120,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10200,200,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10200,210,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10200,230,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,310,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,320,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,330,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,340,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,350,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,360,11,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,370,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,380,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,390,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,400,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,410,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,420,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,430,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,450,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,460,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,490,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,500,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,510,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,520,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,550,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10120,370,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10120,560,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10120,820,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10120,910,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,100,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,220,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,250,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,270,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,280,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,290,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,300,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,310,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,320,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,330,6,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,340,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,350,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,360,6,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,370,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,380,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10130,390,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10180,350,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,280,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,290,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,289,10110,300,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10120,820,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10120,830,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10120,920,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10120,1000,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,250,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,270,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,280,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,290,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,300,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,310,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,320,10,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,330,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,340,8,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,350,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,360,6,3,NA,NA
NA,NA,NA,"GOA",41,199903,288,10130,370,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,393,10110,510,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,280,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,290,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,370,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,380,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,390,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,300,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,340,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,350,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,390,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,400,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,410,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,420,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,440,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,480,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,490,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,530,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,540,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,550,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,580,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,600,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,610,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,620,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10120,1050,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,110,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,130,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,150,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,160,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,180,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,190,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,200,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,210,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,220,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,230,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,240,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,250,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,260,7,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,270,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,280,6,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,290,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,300,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,310,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,320,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,340,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10130,350,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,330,5,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,340,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,240,11,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,250,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,10110,260,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,350,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,360,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,370,4,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,380,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,390,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,400,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10130,410,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10180,210,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10180,230,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10200,180,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10261,240,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10261,300,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10261,310,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,10261,320,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21722,610,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21740,230,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21740,320,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21740,440,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21740,460,3,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21740,500,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,391,21740,520,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,310,790,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,310,800,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,310,850,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,310,890,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,405,290,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,420,670,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,420,720,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,420,970,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,392,440,740,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,10130,440,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,10130,450,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,10200,80,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,10200,90,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,21720,730,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,21720,750,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,21722,630,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,21740,470,2,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,21740,480,1,3,NA,NA
NA,NA,NA,"GOA",41,199903,341,21740,490,2,3,NA,NA
