spp_name_informal,species_code,middle_sentences
kamchatka flounder,10112,"Confident identification and separation of Kamchatka flounder from its close congener arrowtooth flounder on Aleutian surveys began in 1994. Kamchatka flounder were caught throughout the AI and at all depths, but were most frequently caught between 100–200 m in all survey districts. In the SBS, they were caught most frequently in the 1–100 m depth range but their estimated biomass was highest at 300–500 m. Lengths appear to be unimodal for both males and females. Size generally increased with depth. Females (median 41 cm F.L.) were slightly larger than males (37 cm F.L.), a pattern that has been consistent through time."
Southern rock sole,10262,"The identification and separation of southern rock sole from its close congener northern rock sole began on Aleutian surveys in 1996. Although southern rock sole were caught in all survey districts and at all depths shallower than 200 m, the highest estimated biomass was in the SBS at <100 m. The SBS had a larger estimated biomass than the other survey districts combined. As in previous years, the median length for females (37 cm F.L. in 2022) was larger than the median size for males (32 cm). There was no clear pattern of size with depth."
Pacific halibut,10120,Pacific halibut were caught in all depth ranges in the SBS and Eastern AI survey districts at 1–200 m. Males and females had comparable median lengths (females 55 cm F.L.; males 57 cm). Size distributions for both sexes were unimodal. Fork length increased with depth within each survey district and across the entire survey area.
Greenland turbot,10115,"Although Greenland turbot were caught in all of the survey districts, they were rare, encountered in only seven hauls during the entire survey, and occurred only in depths >200 m. The highest estimated biomass of Greenland turbot was at 300–500 m in the Eastern AI. Median lengths for females (81 cm F.L.) were slightly higher than for males (66 cm F.L.), although sample sizes are small and this pattern is not consistent over time in the AI survey. Length data were insufficient to detect changes in size with depth."
flathead sole,10130,"Although flathead sole were caught throughout the survey and at all depth ranges, they were caught most frequently in the Western AI at 100–200 m and the highest estimated biomass occurred in the SBS at 100–200 m. Females were slightly larger than males (31 cm F.L. compared to 29 cm F.L., in 2022); female flathead sole have historically been larger than males, and length distributions for both are unimodal. On average, the smallest individual flathead sole were caught between 100-200 m depth, with larger individuals at shallower (<100 m) and deeper (>200 m) depths."
rex sole,10200,"Although rex sole were caught throughout the survey area and at all depths, the highest estimated biomasses were at depths < 200 m. CPUE was particularly high in the SBS and Eastern AI. As in previous years, female rex sole were slightly larger than males (median 44 cm F.L. compared to median 41 cm F.L. in 2022), and the size distributions of both males and females were unimodal. There was no clear pattern of size with depth for rex sole in any of the survey districts or across the AI."
giant grenadier,21230,"No giant grenadier were caught in the SBS survey district, and with the exception of four tows in the 200–300 m depth range, they were only caught at depths deeper than 300 m. The largest catches were concentrated between Kiska and Kanaga Islands. Almost all recorded lengths were from females, which were much more abundant than males across the AI. Unlike all other species in this report whose length is either fork or total length, giant grenadier were measured from the tip of the snout to the insertion of the anal fin. There were insufficient length data to draw conclusions about changes in length with depth, or size differences between sexes."
northern rockfish,30420,"Northern rockfish were caught most frequently in the Western AI, with the highest biomasses estimated to be at 100–200 m in the Aleutian districts and 1–100 m in the SBS. The length frequencies of northern rockfishes were unimodal and symmetrical in 2022 for males and females, and females were slightly larger (33 cm median F.L. for females compared to 32 cm median F.L. for males). There were no strong patterns across depth except that the smallest individuals were found at depths <100 m."
shortspine thornyhead,30020,"Shortspine thornyhead were most frequently caught in the Western AI. The highest estimated biomasses were between 300–500 m in all survey districts except the Western AI, where they had large catches at all depths >100 m. Lengths collected for shortspine thornyhead in 2022 were not separated by sex for length frequencies; sex data were only collected in conjunction with otolith collections. Historically, males and females have had similar length distributions; in 2022 the median length for sexed otolith fish indicated slightly larger females (37 cm median F.L.) than males (34 cm median F.L.). On average, individuals caught in deeper hauls were slightly smaller."
Alaska skate,471,"Alaska skate were caught throughout the survey area. Length data have been insufficient to identify systematic differences in male and female size in the survey over time or changes in size with depth, though median female length has historically been higher than that of males."
great sculpin,21370,"Great sculpin were caught everywhere in the survey area, but only at depths <200 m. Historically females have been larger than males; in 2022 this pattern persisted (females median 68 cm F.L.; males 49 cm F.L.). There were no systematic patterns of great sculpin size with depth."
dusky rockfish,30152,Dusky rockfish were caught throughout the survey area and only at depths <300 m. Female and male dusky rockfish shared a similar median size of 40 cm F.L. There were insufficient data to identify trends in dusky rockfish size with depth.
dark rockfish,30151,"Dark rockfish were not caught in the Eastern AI or SBS. In the Western and Central AI, they were only caught at depths <200m. There were insufficient data to identify trends in size with depth, or systematic differences in fork length between the sexes."
leopard skate,477,"Leopard skates were caught everywhere in the survey area except the SBS, with small catches throughout and the largest catches occurring in the Western AI. There were insufficient data to identify trends in size with depth, or systematic differences in fork length between the sexes."
